Summary,Issue Type,Status,Project name,Project type,Description
Lessons: Lesson endpoint does not include format field of the BREAK type,Feature Request,Verified,Sakai,software,"The endpoint located at {{/direct/lessons/lesson/{lessonId}.json}} which provides an array of lesson item does not include relevant information for break items. The missing field is the {{format}}, which distinguished sections from columns. This property should be surfaced as with the other lesson items that have custom attributes. Check the test plan to see the actual and expected json representations."
Portal: DOMException: Failed to register a ServiceWorker,Bug,Open,Sakai,software,"Iâ€™m not seeing the gateway errors on 24 or 22, only on 23. 

After logging in, 24 and 23 have the errors.

When launching [https://qa23-maria.nightly.sakaiproject.org/portal|https://qa23-maria.nightly.sakaiproject.org/portal] without logging in, there is a console error and at the same time I see an error and warnings in the server logs.

After logging in, there are more errors.

*Console Error (not logged in):*

{noformat}portal:1  Uncaught (in promise) DOMException: Failed to register a ServiceWorker: The document is in an invalid state.
Promise.then (async)
(anonymous) @ sakai-message-broker.js?version=371ed6fa:105{noformat}

*Server Logs (not logged in):*


{noformat}03-Oct-2023 17:51:26.054 ERROR [http-nio-20023-exec-12] o.s.p.c.SkinnableCharonPortal.startPageContext Failed to set profile urls on render context: org.sakaiproject.exception.IdUnusedException id: ~

03-Oct-2023 17:51:26.054 WARN [http-nio-20023-exec-12] o.s.p.c.h.SiteHandler.doSite Exception caught whilst setting selectedPage property: org.sakaiproject.exception.PermissionException: user=null lock=prefs.upd resource=/prefs/null id: /prefs/null

03-Oct-2023 17:51:26.054 WARN [http-nio-20023-exec-12] o.s.p.c.h.SiteHandler.doSite Exception caught whilst setting selectedPage property: org.sakaiproject.exception.PermissionException: user=null lock=prefs.upd resource=/prefs/null id: /prefs/null

03-Oct-2023 17:51:26.063 WARN [http-nio-20023-exec-12] o.s.m.i.UserMessagingServiceImpl.getNotifications No current user{noformat}

*Console errors (logged in):*

{noformat}sakai-message-broker.js?version=371ed6fa:97  Failed to register service worker InvalidStateError: Failed to register a ServiceWorker: The document is in an invalid state.
(anonymous) @ sakai-message-broker.js?version=371ed6fa:97
Promise.catch (async)
(anonymous) @ sakai-message-broker.js?version=371ed6fa:95
(anonymous) @ sakai-message-broker.js?version=371ed6fa:48
portal:1  Uncaught (in promise) undefined
Promise.then (async)
(anonymous) @ sakai-message-broker.js?version=371ed6fa:102
portal:1  Uncaught (in promise) undefined
Promise.then (async)
registerForNotifications @ sui-notifications.js?version=371ed6fa:56
(anonymous) @ sui-notifications.js?version=371ed6fa:50
Promise.then (async)
loadInitialNotifications @ sui-notifications.js?version=371ed6fa:47
attributeChangedCallback @ sui-notifications.js?version=371ed6fa:30
(anonymous) @ sui-notifications.js?version=371ed6fa:252{noformat}

*Server logs (logged in):*

{noformat}03-Oct-2023 17:52:20.787 ERROR [http-nio-20023-exec-3] o.s.p.c.SkinnableCharonPortal.startPageContext Failed to set profile urls on render context: org.sakaiproject.exception.IdUnusedException id: ~

03-Oct-2023 17:52:20.788 WARN [http-nio-20023-exec-3] o.s.p.c.h.SiteHandler.doSite Exception caught whilst setting selectedPage property: org.sakaiproject.exception.PermissionException: user=null lock=prefs.upd resource=/prefs/null id: /prefs/null

03-Oct-2023 17:52:20.788 WARN [http-nio-20023-exec-3] o.s.p.c.h.SiteHandler.doSite Exception caught whilst setting selectedPage property: org.sakaiproject.exception.PermissionException: user=null lock=prefs.upd resource=/prefs/null id: /prefs/null

03-Oct-2023 17:52:20.799 WARN [http-nio-20023-exec-3] o.s.m.i.UserMessagingServiceImpl.getNotifications No current user

6{noformat}"
"User Activity Report incorrectly says student submission read was ""Instructor on behalf of""",Bug,Resolved,Sakai,software,"User Activity Report for a student assignment submission read says that the submitter was â€œInstructor on behalf ofâ€

This is because the submitter is empty "
"Ability to email all sites in which you are instructor, or to merge sites via email tool",Feature Request,Open,Sakai,software,"Iâ€™ve gotten a request from a few instructors that they would like to have the ability to email, through bridges, more than one section, or course site, in which they are listed as the instructor of record.  I know announcements can be merged, but it would be nice to have this functionality in the email tool.  "
Portal: Can not navigate between tools of unpinned site.,Bug,Closed,Sakai,software,"If you go on a site that is not in the recent sites already and that is not pinned, there is no way to navigate to the sites tools, because it is not displayed on the left side at all"
Portal: Can not re-pin sites ,Bug,Closed,Sakai,software,"After unpinning a site I find it in the recent sites. When I pin the site it moves back to the pinned section, but when refreshing the page, it is still unpinned. This issue might be related to project sites. I attached a video of my local instance because the connection to trunk is to slow, but I reproduced it there as well."
Roster Card Game: Ability to switch to a different group without losing the progress made with the current group,Feature Request,Open,Sakai,software,"In a site with several groups, if the instructor accesses the Name That Face tab in the Roster, they have 2 options:

* From all site participants
* From group members

If a group is selected, the page loads with a student from that group. The text below the image and buttons:

You have learned 0 of 1 student names (from group 24x-Team-2)

If the instructor wants to switch to another group, they have to either click Reset the game and lose all progress made so far, or click the Overview tab and then go back to the Name That Face tab.

When groups are involved, it would be nice to have a drop-down on that page allowing the instructor to select another group without losing their progress."
"Roster Card game: when clicking to reset the game, students in the pop-up should be students'",Bug,Verified,Sakai,software,"In the roster card game, when clicking to reset the game, the pop-up has the following:

â€œâ€¦for the {color:#bf2600}students{color} namesâ€¦â€

This should be â€œâ€¦for the students{color:#bf2600}'{color} namesâ€¦â€

!image-20231002-225710.png|width=507,height=319!"
userNotification: display error with long titles,Bug,Open,Sakai,software,"Create e.g. announcement/assignment with a long title (e.g. > 55 chars and no spaces in between).

The resulting notification does not properly display the title, which is not wrapped inside the HTML element  and does not fit (See attachment). If spaces are present the title is wrapped.

"
Cannot change / add profile photo with profile2.avatar.initials.enabled=false,Bug,Open,Sakai,software,"Using the {{profile2.avatar.initials.enabled=false}} the default profile image for users will show the same image for everyone instead of the initials of the users name. This beaks the new webcomponent based editor. as it's not rendered when the image object ({{ProfileImage.java}}) has the property {{isDefault}} set to true. I want to note that since [https://sakaiproject.atlassian.net/browse/SAK-41754|https://sakaiproject.atlassian.net/browse/SAK-41754|smart-link] was introduced the {{isDefault}} property was not really used (without setting {{profile2.avatar.initials.enabled}}), since using the initials will also have {{isDefault=false}}.

I think this case should either be handled, or the property should be removed together with a cleanup in ProfileImageLogic in case it is not used.

As you can see in the screenshot the default image does also not display really well (round). I suppose it is not used much.

Decription copied from SAK-49311:

Clicking on â€œChange Pictureâ€ in Profile does nothing (other than throw JS error on the console). 

modal.js:157 Uncaught TypeError: Cannot read properties of undefined (reading 'backdrop')

at ne._initializeBackDrop (modal.js:157:39)

at new ne (modal.js:68:27)

at ne.getOrCreateInstance (base-component.js:65:41)

at HTMLButtonElement.<anonymous> (modal.js:360:22)

at HTMLDocument.s (event-handler.js:118:19)"
Update Apache Commons IO 2.14.0,Bug,Closed,Sakai,software,"[https://commons.apache.org/proper/commons-io/changes-report.html#a2.14.0|https://commons.apache.org/proper/commons-io/changes-report.html#a2.14.0|smart-link] 

h3. Release 2.14.0 â€“ 2023-09-24

||Type||Changes||By||
|!fix.gif|width=20,height=20,alt=""Fix""!|ReaderInputStream.read() throws an exception instead of returning -1 when called again after returning -1. Fixes [IO-799|https://issues.apache.org/jira/browse/IO-799]. Thanks to Jeroen van der Vegt, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|FileUtils.forceMkdirParent() Javadoc is incorrect. Fixes [IO-804|https://issues.apache.org/jira/browse/IO-804]. Thanks to Elliotte Rusty Harold, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|[StepSecurity] ci: Harden GitHub Actions #461. Thanks to step-security-bot, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|MagicNumberFileFilter.accept(Path, BasicFileAttributes) doesn't set its byteOffset before reading. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Javadoc improvements. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Spelling #468. Thanks to Josh Soref, Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!fix.gif|width=20,height=20,alt=""Fix""!|Use assertThrows #475. Thanks to Jakub Kupczyk.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add DeferredFileOutputStream.getPath(). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add FileCleaningTracker.track(Path, Object[, FileDeleteStrategy]). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add IOUtils.skip[Fully](InputStream, long, Supplier<byte[]>). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add FilesUncheck.find(Path, int, BiPredicate%lt;Path, BasicFileAttributes>, FileVisitOption...) Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add IOIntSupplier. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add IOLongSupplier. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add Uncheck.getAsInt(IOIntSupplier [, Supplier<String>]). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add Uncheck.getAsLong(IOLongSupplier [, Supplier<String>]). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add Uncheck.run(IORunnable, Supplier<String>) Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add Uncheck.get(IOSupplier, Supplier<String>) Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|IOFileFilter now also extends java.nio.file.PathMatcher. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add PathMatcherFileFilter to adapt java.nio.file.PathMatcher. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add ThresholdingOutputStream.getOutputStream() and deprecate getStream(). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add DeferredFileOutputStream.Builder.setOutputFile(Path). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add DeferredFileOutputStream.Builder.setDirectory(Path). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add AbstractStreamBuilder.setBufferSizeChecker(IntToIntFunction). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!add.gif|width=20,height=20,alt=""Add""!|Add AbstractStreamBuilder.setBufferSizeMax(int). Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!update.gif|width=20,height=20,alt=""Update""!|Bump jimfs from 1.2 to 1.3.0 #465 (tests). Thanks to Dependabot.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!update.gif|width=20,height=20,alt=""Update""!|Bump commons-parent from 58 to 62. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|
|!update.gif|width=20,height=20,alt=""Update""!|Bump commons-lang3 from 3.12 to 3.13.0. Thanks to Gary Gregory.|[ggregory|https://commons.apache.org/proper/commons-io/team-list.html#ggregory]|"
